freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
100.0,10.0,-25.8,-15.0,9.84,0.614,1195.0321211570547,61.54759157603926,-15.984571614377609,18000
107.33000219295533,10.0,-25.8,-15.0,9.745,0.612,1203.24749211262,61.60709930330563,-15.991340826175854,18000
115.19729370739798,10.0,-25.9,-15.0,9.87,0.5865,1134.585116595201,61.0967416444543,-15.93476556697318,18000
123.64125786237544,10.0,-25.9,-17.0,9.865,0.6165,1196.1597031779509,61.555783351887314,-18.11327373280772,18000
132.70416477508513,10.0,-24.3,-5.0,9.845,0.6005,1168.9280942893176,61.355755933864046,-5.324292011929122,18000
142.43138296324207,10.0,-25.4,-17.0,9.85,0.634,1234.3220517200627,61.82856975856242,-18.148796369255287,18000
152.87160645790433,10.0,-24.7,-5.0,9.85,0.606,1179.69511627058,61.43539563036057,-5.327279105010721,18000
164.07709856367478,10.0,-25.7,-16.0,9.895,0.5975,1153.709868969359,61.241932153038555,-17.012295729608123,18000
176.10395348652963,10.0,-25.7,-15.0,9.93,0.59,1134.4518465527606,61.095721327111896,-15.934655758288903,18000
189.01237713897328,10.0,-25.7,-15.0,9.92,0.5775,1110.1771058132244,60.9078453404518,-15.914654490823569,18000
202.86698852821704,10.0,-25.8,-14.0,9.935,0.556,1065.079875736155,60.5476435787936,-14.820204818346332,18000
217.73714323611782,10.0,-25.8,-12.0,9.92,0.5355,1025.768012109447,60.22098303514916,-12.678872710346416,18000
233.69728061020353,10.0,-25.8,-11.0,9.92,0.515,984.6016760793466,59.86521141466591,-11.598022368092197,18000
250.82729640380845,10.0,-25.9,-11.0,9.93,0.509,971.4923025682729,59.7487872780188,-11.590059779951039,18000
269.21294273073846,10.0,-25.9,-12.0,9.945,0.503,957.7334046569655,59.62489270768132,-12.633844215602036,18000
288.94625733662116,10.0,-26.0,-13.0,9.925,0.497,947.5289634612509,59.53184988159688,-13.678485865291371,18000
310.1260243358579,10.0,-26.5,-13.0,9.845,0.492,945.5210896244457,59.513424402497435,-13.677048043810657,18000
332.8582687206015,10.0,-26.2,-14.0,9.87,0.4925,943.7994764337888,59.49759464170293,-14.726802953421185,18000
357.2567871172547,10.0,-26.2,-8.0,9.93,0.5055,964.9318041932422,59.6899324200547,-8.427470433235229,18000
383.44371744743125,10.0,-26.1,-9.0,9.915,0.497,949.2341597283272,59.547467172334066,-9.472673063337712,18000
411.55015034507744,10.0,-25.1,-12.0,9.915,0.545,1045.5530957540154,60.38692184508185,-12.69196748429597,18000
441.71678539048264,10.0,-26.6,-12.0,9.92,0.5305,1015.6630905924482,60.13499340774252,-12.67218477341915,18000
474.0946354462568,10.0,-25.0,-13.0,9.92,0.5575,1070.100109074789,60.588488166508924,-13.766258870031557,18000
508.84578262115156,10.0,-25.0,-14.0,9.94,0.556,1064.51349094994,60.54302339548659,-14.81976862266596,18000
546.1441896460422,10.0,-25.1,-15.0,9.93,0.5525,1058.2698581319335,60.49192853269091,-15.87188568223404,18000
586.1765707237957,10.0,-25.1,-16.0,9.935,0.5495,1051.338614951346,60.434852320945666,-16.92246432819939,18000
629.1433262124405,10.0,-25.1,-16.0,9.85,0.546,1053.7867112196093,60.45505435198944,-16.924612520298332,18000
675.2595458206445,10.0,-25.2,-17.0,9.865,0.5415,1042.6269743428245,60.362579131879485,-17.970365138379844,18000
724.756085337438,10.0,-25.3,-19.0,9.93,0.5375,1026.6985430895766,60.22885891495973,-20.06404490036956,18000
777.8807222862494,10.0,-25.4,-21.0,9.925,0.5335,1018.4673796654424,60.158942472159744,-22.16186636045813,18000
834.8993962884083,10.0,-25.4,-22.0,9.92,0.528,1007.5779397946268,60.06557300720148,-23.20153389570592,18000
896.0975403453194,10.0,-25.5,-23.0,9.925,0.5225,995.6339630389949,59.961994056618735,-24.23840203634439,18000
961.7815097036512,10.0,-25.6,-24.0,9.93,0.5165,982.7190103839596,59.84858714841397,-25.272414130227766,18000
1032.2801154563667,10.0,-25.8,-25.0,9.93,0.51,969.3528171983185,59.72963753634831,-26.304120625136086,18000
1107.9462705567614,10.0,-25.9,-27.0,9.93,0.503,954.602789848546,59.596453985353264,-28.379626600957316,18000
1189.158756485339,10.0,-26.0,-28.0,9.94,0.4955,938.3140445503799,59.446964336641415,-29.40233248965407,18000
1276.3241194134346,10.0,-26.2,-29.0,9.935,0.4875,922.5616267930586,59.29990773038291,-30.423840835184137,18000
