freqs,amp,phase,nice phase
42,-24.5,5,95
48,-24.6,4,94
54,-24.6,3,93
61,-24.6,4,94
69,-24.6,4,94
78,-24.5,1,91
88,-24.6,3,93
100,-24.6,1,91
100,-24.6,2,92
112,-24.6,2,92
127,-24.6,2,92
143,-24.5,2,92
162,-24.5,2,92
183,-24.5,1,91
206,-24.6,1,91
233,-24.5,1,91
263,-24.4,-1,89
297,-24.6,1,91
335,-24.5,0,90
379,-24.6,1,91
428,-24.5,1,91
483,-24.6,0,90
545,-24.6,1,91
615,-24.5,0,90
695,-24.5,2,92
784,-24.6,-1,89
885,-24.5,-1,89
1000,-24.5,1,91
1000,-24.5,-1,89
1128,-24.6,1,91
1274,-24.6,1,91
1438,-24.5,-1,89
1623,-24.6,-1,89
1832,-24.6,3,93
2069,-24.5,1,91
2335,-24.5,1,91
2636,-24.6,2,92
2976,-24.5,4,94
3359,-24.6,0,90
3792,-24.6,4,94
4281,-24.5,6,96
4832,-24.5,5,95
5455,-24.5,4,94
6158,-24.5,9,99
6951,-24.4,4,94
7847,-24.4,9,99
8858,-24.1,6,96
10000,-24.3,13,103
10000,-24.4,10,100
11288,-24.3,11,101
12742,-24.2,13,103
14384,-24,18,108
16237,-23.9,20,110
18329,-23.8,16,106
20691,-23.6,17,107
23357,-23.6,25,115
26366,-23.2,30,120
29763,-22.8,32,122
33598,-22.6,32,122
37926,-22,33,123
42813,-21.6,44,134
48329,-21,46,136
54555,-20.3,50,140
61584,-19.6,53,143
69519,-18.8,51,141
78475,-18,55,145
88586,-17,58,148
100000,-16,59,149
100000,-16,59,149
145000,-12.8,61,151
190000,-10.3,58,148
235000,-8.1,55,145
280000,-6.1,52,142
325000,-4.5,45,135
370000,-2.9,34,124
415000,-1.3,22,112
460000,-0.3,12,102
505000,0.3,4,94
550000,0.7,-1,89
595000,1.1,-7,83
640000,1.5,-11,79
685000,1.8,-17,73
730000,2.4,-27,63
775000,2.6,-76,14
820000,2.1,-90,0
865000,1.5,259,349
910000,1.1,251,341
955000,0.5,243,333
