Freq.	V(n004)/V(n001)
1.00000000000000e+001	(-9.23080087817047e+001dB,2.44344599784610e+001°)
1.02329299228075e+001	(-9.22732768266849e+001dB,2.49368008379963e+001°)
1.04712854805090e+001	(-9.22370347662034e+001dB,2.54439840415760e+001°)
1.07151930523761e+001	(-9.21994560899201e+001dB,2.59603500684262e+001°)
1.09647819614319e+001	(-9.21602707765251e+001dB,2.64829236710458e+001°)
1.12201845430196e+001	(-9.21197771328699e+001dB,2.70131552284535e+001°)
1.14815362149688e+001	(-9.20778050481031e+001dB,2.75498249726867e+001°)
1.17489755493953e+001	(-9.20341815273214e+001dB,2.80945926948902e+001°)
1.20226443461741e+001	(-9.19889502360211e+001dB,2.86463416054299e+001°)
1.23026877081238e+001	(-9.19422181307551e+001dB,2.92050336087264e+001°)
1.25892541179417e+001	(-9.18937765618179e+001dB,2.97699856490211e+001°)
1.28824955169313e+001	(-9.18436724729118e+001dB,3.03418591138512e+001°)
1.31825673855641e+001	(-9.17916827709833e+001dB,3.09201227164227e+001°)
1.34896288259165e+001	(-9.17380391348047e+001dB,3.15057767265557e+001°)
1.38038426460288e+001	(-9.16825287197930e+001dB,3.20957968738395e+001°)
1.41253754462275e+001	(-9.16250914764132e+001dB,3.26927158825352e+001°)
1.44543977074593e+001	(-9.15657345104744e+001dB,3.32959053868376e+001°)
1.47910838816821e+001	(-9.15045774716378e+001dB,3.39036780505098e+001°)
1.51356124843621e+001	(-9.14412258853240e+001dB,3.45172683803899e+001°)
1.54881661891248e+001	(-9.13761750348891e+001dB,3.51357176968960e+001°)
1.58489319246111e+001	(-9.13087802635680e+001dB,3.57583637191367e+001°)
1.62181009735893e+001	(-9.12394031340996e+001dB,3.63862260121660e+001°)
1.65958690743756e+001	(-9.11680366703518e+001dB,3.70195378424403e+001°)
1.69824365246174e+001	(-9.10944931717639e+001dB,3.76549638018185e+001°)
1.73780082874937e+001	(-9.10186582038916e+001dB,3.82950363666102e+001°)
1.77827941003892e+001	(-9.09407809691006e+001dB,3.89378750177614e+001°)
1.81970085860998e+001	(-9.08606261999493e+001dB,3.95844288222277e+001°)
1.86208713666287e+001	(-9.07784441571731e+001dB,4.02346554429652e+001°)
1.90546071796325e+001	(-9.06936999542124e+001dB,4.08848640422025e+001°)
1.94984459975804e+001	(-9.06068357255874e+001dB,4.15393385625306e+001°)
1.99526231496888e+001	(-9.05178837144186e+001dB,4.21952191345679e+001°)
2.04173794466953e+001	(-9.04264889823569e+001dB,4.28510616416286e+001°)
2.08929613085404e+001	(-9.03328163140087e+001dB,4.35096630138112e+001°)
2.13796208950223e+001	(-9.02368369663380e+001dB,4.41688263414869e+001°)
2.18776162394955e+001	(-9.01385426829074e+001dB,4.48283683999740e+001°)
2.23872113856834e+001	(-9.00380525824736e+001dB,4.54877734986552e+001°)
2.29086765276777e+001	(-8.99351434876367e+001dB,4.61468444388673e+001°)
2.34422881531992e+001	(-8.98299998136274e+001dB,4.68051679093607e+001°)
2.39883291901949e+001	(-8.97225919203769e+001dB,4.74632100766402e+001°)
2.45470891568503e+001	(-8.96127076226500e+001dB,4.81202639301440e+001°)
2.51188643150958e+001	(-8.95007414440026e+001dB,4.87751786219033e+001°)
2.57039578276886e+001	(-8.93864294662071e+001dB,4.94272648658566e+001°)
2.63026799189538e+001	(-8.92698895712781e+001dB,5.00778781848480e+001°)
2.69153480392691e+001	(-8.91512171447913e+001dB,5.07253700730256e+001°)
2.75422870333816e+001	(-8.90301966155407e+001dB,5.13708482308310e+001°)
2.81838293126445e+001	(-8.89070522459814e+001dB,5.20122901958347e+001°)
2.88403150312660e+001	(-8.87817770306263e+001dB,5.26497646206477e+001°)
2.95120922666638e+001	(-8.86542253909350e+001dB,5.32843751131822e+001°)
3.01995172040201e+001	(-8.85247110789766e+001dB,5.39140327910607e+001°)
3.09029543251359e+001	(-8.83929406201677e+001dB,5.45400298716471e+001°)
3.16227766016838e+001	(-8.82592643405277e+001dB,5.51604234253990e+001°)
3.23593656929628e+001	(-8.81234818421766e+001dB,5.57765815558383e+001°)
3.31131121482591e+001	(-8.79857522494387e+001dB,5.63871999796776e+001°)
3.38844156139202e+001	(-8.78460899706700e+001dB,5.69921931939695e+001°)
3.46736850452531e+001	(-8.77045371872624e+001dB,5.75921495425924e+001°)
3.54813389233575e+001	(-8.75609775425771e+001dB,5.81856737439793e+001°)
3.63078054770101e+001	(-8.74155988684690e+001dB,5.87740021691118e+001°)
3.71535229097172e+001	(-8.72684883887012e+001dB,5.93551736140189e+001°)
3.80189396320561e+001	(-8.71194410976959e+001dB,5.99307979780201e+001°)
3.89045144994280e+001	(-8.69688335828899e+001dB,6.04992091251979e+001°)
3.98107170553497e+001	(-8.68164951858378e+001dB,6.10608966023228e+001°)
4.07380277804112e+001	(-8.66624473695383e+001dB,6.16157651498370e+001°)
4.16869383470335e+001	(-8.65068325902672e+001dB,6.21639642271231e+001°)
4.26579518801592e+001	(-8.63496843851804e+001dB,6.27050654625855e+001°)
4.36515832240165e+001	(-8.61909537923122e+001dB,6.32387187907048e+001°)
4.46683592150962e+001	(-8.60307639458468e+001dB,6.37649662693454e+001°)
4.57088189614874e+001	(-8.58691130180607e+001dB,6.42843170417904e+001°)
4.67735141287197e+001	(-8.57060170249783e+001dB,6.47963293553670e+001°)
4.78630092322638e+001	(-8.55416039694849e+001dB,6.53004477593262e+001°)
4.89778819368445e+001	(-8.53758329417613e+001dB,6.57973975345733e+001°)
5.01187233627271e+001	(-8.52087924119883e+001dB,6.62864621758247e+001°)
5.12861383991364e+001	(-8.50404874934025e+001dB,6.67682417243582e+001°)
5.24807460249772e+001	(-8.48709880739788e+001dB,6.72423508912469e+001°)
5.37031796370252e+001	(-8.47003275146414e+001dB,6.77087589663735e+001°)
5.49540873857624e+001	(-8.45285089042552e+001dB,6.81677342423931e+001°)
5.62341325190348e+001	(-8.43556080177279e+001dB,6.86189709332971e+001°)
5.75439937337156e+001	(-8.41816665606452e+001dB,6.90627183667115e+001°)
5.88843655355588e+001	(-8.40066893644704e+001dB,6.94988150218662e+001°)
6.02559586074357e+001	(-8.38306640577527e+001dB,6.99275783148737e+001°)
6.16595001861481e+001	(-8.36537728274574e+001dB,7.03486458355208e+001°)
6.30957344480192e+001	(-8.34759061097282e+001dB,7.07623386163104e+001°)
6.45654229034654e+001	(-8.32971452758203e+001dB,7.11686687918669e+001°)
6.60693448007595e+001	(-8.31175439422471e+001dB,7.15676733977935e+001°)
6.76082975391980e+001	(-8.29371099174342e+001dB,7.19593089984305e+001°)
6.91830970918935e+001	(-8.27558585169712e+001dB,7.23437813481307e+001°)
7.07945784384136e+001	(-8.25738866280663e+001dB,7.27209830400629e+001°)
7.24435960074988e+001	(-8.23911239642973e+001dB,7.30912160376793e+001°)
7.41310241300916e+001	(-8.22076768138538e+001dB,7.34543652811760e+001°)
7.58577575029182e+001	(-8.20235439229555e+001dB,7.38105218342216e+001°)
7.76247116628690e+001	(-8.18387375651494e+001dB,7.41598423326884e+001°)
7.94328234724279e+001	(-8.16533065954055e+001dB,7.45023985625201e+001°)
8.12830516164097e+001	(-8.14672532949095e+001dB,7.48382004976645e+001°)
8.31763771102669e+001	(-8.12806262440283e+001dB,7.51674019794875e+001°)
8.51138038202374e+001	(-8.10934295691785e+001dB,7.54900431710177e+001°)
8.70963589956078e+001	(-8.09056860830093e+001dB,7.58062996930111e+001°)
8.91250938133743e+001	(-8.07174516233988e+001dB,7.61161270877302e+001°)
9.12010839355907e+001	(-8.05286796079747e+001dB,7.64197543912748e+001°)
9.33254300796988e+001	(-8.03394449766371e+001dB,7.67171744907433e+001°)
9.54992586021433e+001	(-8.01497582543313e+001dB,7.70084992990007e+001°)
9.77237220955808e+001	(-7.99596397222134e+001dB,7.72938551104813e+001°)
9.99999999999997e+001	(-7.97690771915089e+001dB,7.75733709243561e+001°)
1.02329299228075e+002	(-7.95781164383154e+001dB,7.78470050922823e+001°)
1.04712854805090e+002	(-7.93867609913601e+001dB,7.81149995171792e+001°)
1.07151930523760e+002	(-7.91950309353856e+001dB,7.83773675740286e+001°)
1.09647819614318e+002	(-7.90029609253577e+001dB,7.86341930892404e+001°)
