Freq.	V(n004)/V(n001)
1.00000000000000e+001	(4.22778232588136e+001dB,1.79996876352075e+002°)
1.02329299228075e+001	(4.22778232585811e+001dB,1.79996803592751e+002°)
1.04712854805090e+001	(4.22778232582763e+001dB,1.79996729139014e+002°)
1.07151930523761e+001	(4.22778232579875e+001dB,1.79996652950753e+002°)
1.09647819614319e+001	(4.22778232576393e+001dB,1.79996574987941e+002°)
1.12201845430196e+001	(4.22778232573075e+001dB,1.79996495209169e+002°)
1.14815362149688e+001	(4.22778232569545e+001dB,1.79996413572261e+002°)
1.17489755493953e+001	(4.22778232565804e+001dB,1.79996330033556e+002°)
1.20226443461741e+001	(4.22778232561854e+001dB,1.79996244548981e+002°)
1.23026877081238e+001	(4.22778232557951e+001dB,1.79996157073288e+002°)
1.25892541179417e+001	(4.22778232553716e+001dB,1.79996067560089e+002°)
1.28824955169313e+001	(4.22778232549406e+001dB,1.79995975961843e+002°)
1.31825673855641e+001	(4.22778232544644e+001dB,1.79995882229925e+002°)
1.34896288259165e+001	(4.22778232540062e+001dB,1.79995786314619e+002°)
1.38038426460288e+001	(4.22778232534908e+001dB,1.79995688165439e+002°)
1.41253754462275e+001	(4.22778232529561e+001dB,1.79995587729863e+002°)
1.44543977074593e+001	(4.22778232524025e+001dB,1.79995484954742e+002°)
1.47910838816821e+001	(4.22778232518303e+001dB,1.79995379785949e+002°)
1.51356124843621e+001	(4.22778232512020e+001dB,1.79995272167204e+002°)
1.54881661891248e+001	(4.22778232505935e+001dB,1.79995162041975e+002°)
1.58489319246111e+001	(4.22778232498917e+001dB,1.79995049351464e+002°)
1.62181009735893e+001	(4.22778232491852e+001dB,1.79994934036012e+002°)
1.65958690743756e+001	(4.22778232484871e+001dB,1.79994816034416e+002°)
1.69824365246174e+001	(4.22778232477093e+001dB,1.79994695284496e+002°)
1.73780082874937e+001	(4.22778232468902e+001dB,1.79994571721668e+002°)
1.77827941003892e+001	(4.22778232460429e+001dB,1.79994445280927e+002°)
1.81970085860998e+001	(4.22778232451550e+001dB,1.79994315894828e+002°)
1.86208713666287e+001	(4.22778232442777e+001dB,1.79994183494976e+002°)
1.90546071796325e+001	(4.22778232432473e+001dB,1.79994048011253e+002°)
1.94984459975804e+001	(4.22778232422410e+001dB,1.79993909371473e+002°)
1.99526231496888e+001	(4.22778232412089e+001dB,1.79993767502613e+002°)
2.04173794466953e+001	(4.22778232400633e+001dB,1.79993622329296e+002°)
2.08929613085404e+001	(4.22778232389056e+001dB,1.79993473774188e+002°)
2.13796208950223e+001	(4.22778232376860e+001dB,1.79993321758815e+002°)
2.18776162394955e+001	(4.22778232364052e+001dB,1.79993166202542e+002°)
2.23872113856834e+001	(4.22778232350765e+001dB,1.79993007023058e+002°)
2.29086765276777e+001	(4.22778232336627e+001dB,1.79992844135684e+002°)
2.34422881531992e+001	(4.22778232321898e+001dB,1.79992677454273e+002°)
2.39883291901949e+001	(4.22778232306712e+001dB,1.79992506890274e+002°)
