Freq.	V(n004)/V(n001)
Step Information: R5=1K  (Run: 1/11)
1.00000000000000e+001	(-1.03508548741484e+002dB,2.65658942101641e+001°)
1.02329299228075e+001	(-1.03467925414193e+002dB,2.70955829149463e+001°)
1.04712854805090e+001	(-1.03425879959854e+002dB,2.76355517653572e+001°)
1.07151930523761e+001	(-1.03381188079785e+002dB,2.81797126450095e+001°)
1.09647819614319e+001	(-1.03336078708919e+002dB,2.87286976960363e+001°)
1.12201845430196e+001	(-1.03289299844579e+002dB,2.92928951857916e+001°)
1.14815362149688e+001	(-1.03240170702733e+002dB,2.98561722370364e+001°)
1.17489755493953e+001	(-1.03189620499633e+002dB,3.04302980969550e+001°)
1.20226443461741e+001	(-1.03137654573489e+002dB,3.10107112843881e+001°)
1.23026877081238e+001	(-1.03083836060319e+002dB,3.15944281736304e+001°)
1.25892541179417e+001	(-1.03027776094014e+002dB,3.21851441423052e+001°)
1.28824955169313e+001	(-1.02970527153671e+002dB,3.27849917720264e+001°)
1.31825673855641e+001	(-1.02910709682904e+002dB,3.33871314646917e+001°)
1.34896288259165e+001	(-1.02848684734457e+002dB,3.39909304746584e+001°)
1.38038426460288e+001	(-1.02785895756802e+002dB,3.46107425279373e+001°)
1.41253754462275e+001	(-1.02719877799881e+002dB,3.52281612777113e+001°)
1.44543977074593e+001	(-1.02652145774462e+002dB,3.58504418069442e+001°)
1.47910838816821e+001	(-1.02583019179109e+002dB,3.64830449244159e+001°)
1.51356124843621e+001	(-1.02510663571937e+002dB,3.71122166167599e+001°)
1.54881661891248e+001	(-1.02436801092198e+002dB,3.77514571930744e+001°)
1.58489319246111e+001	(-1.02361117559051e+002dB,3.83914539104296e+001°)
1.62181009735893e+001	(-1.02283144893567e+002dB,3.90384052081157e+001°)
1.65958690743756e+001	(-1.02202261297009e+002dB,3.96833826881659e+001°)
1.69824365246174e+001	(-1.02119373668260e+002dB,4.03269156799820e+001°)
1.73780082874937e+001	(-1.02034408233161e+002dB,4.09819470145994e+001°)
1.77827941003892e+001	(-1.01947482762528e+002dB,4.16342799049743e+001°)
1.81970085860998e+001	(-1.01857822346551e+002dB,4.22918215247661e+001°)
1.86208713666287e+001	(-1.01766338897005e+002dB,4.29474589565762e+001°)
1.90546071796325e+001	(-1.01671869860092e+002dB,4.36067735856238e+001°)
1.94984459975804e+001	(-1.01576002403401e+002dB,4.42674106651724e+001°)
1.99526231496888e+001	(-1.01477442255203e+002dB,4.49265803345720e+001°)
2.04173794466953e+001	(-1.01376591961620e+002dB,4.55846515665713e+001°)
2.08929613085404e+001	(-1.01273408318188e+002dB,4.62447635806188e+001°)
2.13796208950223e+001	(-1.01167843072056e+002dB,4.69046872652805e+001°)
2.18776162394955e+001	(-1.01060174946476e+002dB,4.75613987189403e+001°)
2.23872113856834e+001	(-1.00950075410580e+002dB,4.82186352409483e+001°)
2.29086765276777e+001	(-1.00837339005153e+002dB,4.88733643170053e+001°)
