Freq.	V(n004)/V(n002)
1.00000000000000e+001	(-9.21502172958609e+001dB,2.65635486958759e+001°)
1.02329299228075e+001	(-9.21095098307394e+001dB,2.70941416951912e+001°)
1.04712854805090e+001	(-9.20672165501643e+001dB,2.76328603061883e+001°)
1.07151930523761e+001	(-9.20232613938494e+001dB,2.81777787633176e+001°)
1.09647819614319e+001	(-9.19780733957055e+001dB,2.87318077425578e+001°)
1.12201845430196e+001	(-9.19309658017538e+001dB,2.92907154298415e+001°)
1.14815362149688e+001	(-9.18821678790627e+001dB,2.98565454190084e+001°)
1.17489755493953e+001	(-9.18315166933339e+001dB,3.04285155014883e+001°)
1.20226443461741e+001	(-9.17794021534173e+001dB,3.10086594579690e+001°)
1.23026877081238e+001	(-9.17256302422570e+001dB,3.15945193391173e+001°)
1.25892541179417e+001	(-9.16696521643524e+001dB,3.21866156257160e+001°)
1.28824955169313e+001	(-9.16120654127427e+001dB,3.27837378301928e+001°)
1.31825673855641e+001	(-9.15524161473336e+001dB,3.33863357892796e+001°)
1.34896288259165e+001	(-9.14908472567318e+001dB,3.39959613693116e+001°)
1.38038426460288e+001	(-9.14273682804408e+001dB,3.46092960955810e+001°)
1.41253754462275e+001	(-9.13617371351478e+001dB,3.52281540293513e+001°)
1.44543977074593e+001	(-9.12942093729432e+001dB,3.58528909105063e+001°)
1.47910838816821e+001	(-9.12246158126555e+001dB,3.64820121176493e+001°)
1.51356124843621e+001	(-9.11527358395857e+001dB,3.71138037025916e+001°)
1.54881661891248e+001	(-9.10788863311120e+001dB,3.77504887593744e+001°)
1.58489319246111e+001	(-9.10029204788515e+001dB,3.83927207963149e+001°)
1.62181009735893e+001	(-9.09245679504031e+001dB,3.90355276261490e+001°)
1.65958690743756e+001	(-9.08440211417246e+001dB,3.96820606845414e+001°)
1.69824365246174e+001	(-9.07614088800449e+001dB,4.03314980215330e+001°)
1.73780082874937e+001	(-9.06764685854735e+001dB,4.09833264662346e+001°)
1.77827941003892e+001	(-9.05892956861320e+001dB,4.16370575848028e+001°)
1.81970085860998e+001	(-9.04997914550881e+001dB,4.22929876028450e+001°)
1.86208713666287e+001	(-9.04080486146995e+001dB,4.29500110424013e+001°)
1.90546071796325e+001	(-9.03140670310973e+001dB,4.36089847379412e+001°)
1.94984459975804e+001	(-9.02177784764136e+001dB,4.42681056550907e+001°)
1.99526231496888e+001	(-9.01192527227560e+001dB,4.49274632530851e+001°)
2.04173794466953e+001	(-9.00182791878636e+001dB,4.55866236159090e+001°)
2.08929613085404e+001	(-8.99150851975814e+001dB,4.62452345972070e+001°)
2.13796208950223e+001	(-8.98095873941889e+001dB,4.69048781154541e+001°)
2.18776162394955e+001	(-8.97018027119920e+001dB,4.75620578989281e+001°)
2.23872113856834e+001	(-8.95916933298038e+001dB,4.82186420979393e+001°)
2.29086765276777e+001	(-8.94793813049260e+001dB,4.88728228121023e+001°)
2.34422881531992e+001	(-8.93647257167921e+001dB,4.95254276958854e+001°)
2.39883291901949e+001	(-8.92478274288331e+001dB,5.01751305015513e+001°)
2.45470891568503e+001	(-8.91287589223983e+001dB,5.08232680211883e+001°)
2.51188643150958e+001	(-8.90075244519487e+001dB,5.14667063994479e+001°)
2.57039578276886e+001	(-8.88840389708608e+001dB,5.21076315196893e+001°)
2.63026799189538e+001	(-8.87583003931758e+001dB,5.27458147401911e+001°)
2.69153480392691e+001	(-8.86304717829618e+001dB,5.33791307629585e+001°)
2.75422870333816e+001	(-8.85006908312918e+001dB,5.40078998418233e+001°)
2.81838293126445e+001	(-8.83686767073624e+001dB,5.46326926323364e+001°)
2.88403150312660e+001	(-8.82346117715146e+001dB,5.52531298683503e+001°)
2.95120922666638e+001	(-8.80985568157778e+001dB,5.58680029235911e+001°)
3.01995172040201e+001	(-8.79604926902630e+001dB,5.64779228129527e+001°)
3.09029543251359e+001	(-8.78204850840523e+001dB,5.70830793030176e+001°)
3.16227766016838e+001	(-8.76785675708739e+001dB,5.76815348087480e+001°)
3.23593656929628e+001	(-8.75348215106246e+001dB,5.82738797790280e+001°)
3.31131121482591e+001	(-8.73892170240309e+001dB,5.88603814457654e+001°)
3.38844156139202e+001	(-8.72417992622809e+001dB,5.94411630507521e+001°)
3.46736850452531e+001	(-8.70925492150804e+001dB,6.00153020484782e+001°)
3.54813389233575e+001	(-8.69415989227464e+001dB,6.05829750062660e+001°)
3.63078054770101e+001	(-8.67889460347161e+001dB,6.11440185127837e+001°)
3.71535229097172e+001	(-8.66347177554450e+001dB,6.16977441812162e+001°)
3.80189396320561e+001	(-8.64788563639360e+001dB,6.22447890944920e+001°)
3.89045144994280e+001	(-8.63215286029664e+001dB,6.27844429425510e+001°)
3.98107170553497e+001	(-8.61625449546285e+001dB,6.33170934694594e+001°)
4.07380277804112e+001	(-8.60021213818150e+001dB,6.38427242961165e+001°)
4.16869383470335e+001	(-8.58402234293221e+001dB,6.43604877967160e+001°)
4.26579518801592e+001	(-8.56769277775845e+001dB,6.48713467144350e+001°)
4.36515832240165e+001	(-8.55123274149524e+001dB,6.53742399443709e+001°)
4.46683592150962e+001	(-8.53463490613164e+001dB,6.58702155361579e+001°)
4.57088189614874e+001	(-8.51791647267309e+001dB,6.63580397408203e+001°)
4.67735141287197e+001	(-8.50106806360870e+001dB,6.68385422041071e+001°)
4.78630092322638e+001	(-8.48409880893311e+001dB,6.73115424833851e+001°)
4.89778819368445e+001	(-8.46701357873050e+001dB,6.77769358243834e+001°)
5.01187233627271e+001	(-8.44981267305888e+001dB,6.82345764222637e+001°)
5.12861383991364e+001	(-8.43250726673465e+001dB,6.86847482748551e+001°)
5.24807460249772e+001	(-8.41509756810161e+001dB,6.91272614567822e+001°)
5.37031796370252e+001	(-8.39758351628396e+001dB,6.95622583244219e+001°)
5.49540873857624e+001	(-8.37997151308162e+001dB,6.99896665566414e+001°)
5.62341325190348e+001	(-8.36226393502405e+001dB,7.04097578970101e+001°)
5.75439937337156e+001	(-8.34446122425052e+001dB,7.08222929251105e+001°)
5.88843655355588e+001	(-8.32657454401991e+001dB,7.12274718952486e+001°)
6.02559586074357e+001	(-8.30860048633082e+001dB,7.16252898262843e+001°)
6.16595001861481e+001	(-8.29054687890590e+001dB,7.20157485010555e+001°)
6.30957344480192e+001	(-8.27240996802663e+001dB,7.23990995978074e+001°)
6.45654229034654e+001	(-8.25419778113875e+001dB,7.27752478849864e+001°)
6.60693448007595e+001	(-8.23591462653829e+001dB,7.31442109735895e+001°)
6.76082975391980e+001	(-8.21755711839106e+001dB,7.35063377808089e+001°)
6.91830970918935e+001	(-8.19913408766915e+001dB,7.38613583750099e+001°)
