Freq.	V(n004)/V(n001)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+001	(-1.26444326356556e+001dB,1.79993879854213e+002°)
1.02329299228075e+001	(-1.26444326218090e+001dB,1.79993737349142e+002°)
1.04712854805090e+001	(-1.26444326201159e+001dB,1.79993591497584e+002°)
1.07151930523761e+001	(-1.26444326160918e+001dB,1.79993442152577e+002°)
1.09647819614319e+001	(-1.26444326374111e+001dB,1.79993289440753e+002°)
1.12201845430196e+001	(-1.26444325992768e+001dB,1.79993133142833e+002°)
1.14815362149688e+001	(-1.26444325996039e+001dB,1.79992973186813e+002°)
1.17489755493953e+001	(-1.26444326378913e+001dB,1.79992809492552e+002°)
1.20226443461741e+001	(-1.26444326081530e+001dB,1.79992642048136e+002°)
1.23026877081238e+001	(-1.26444326082827e+001dB,1.79992470615273e+002°)
1.25892541179417e+001	(-1.26444326165753e+001dB,1.79992295339453e+002°)
1.28824955169313e+001	(-1.26444326113280e+001dB,1.79992115806656e+002°)
1.31825673855641e+001	(-1.26444326059843e+001dB,1.79991932140414e+002°)
1.34896288259165e+001	(-1.26444326069049e+001dB,1.79991744198114e+002°)
1.38038426460288e+001	(-1.26444325993353e+001dB,1.79991551903385e+002°)
1.41253754462275e+001	(-1.26444325895533e+001dB,1.79991355161404e+002°)
1.44543977074593e+001	(-1.26444325979148e+001dB,1.79991153774316e+002°)
1.47910838816821e+001	(-1.26444325884342e+001dB,1.79990947681586e+002°)
1.51356124843621e+001	(-1.26444325954499e+001dB,1.79990736922059e+002°)
1.54881661891248e+001	(-1.26444326039723e+001dB,1.79990521086533e+002°)
1.58489319246111e+001	(-1.26444325850117e+001dB,1.79990300254001e+002°)
1.62181009735893e+001	(-1.26444325938165e+001dB,1.79990074305313e+002°)
1.65958690743756e+001	(-1.26444326012803e+001dB,1.79989843164563e+002°)
1.69824365246174e+001	(-1.26444325852157e+001dB,1.79989606530477e+002°)
1.73780082874937e+001	(-1.26444325586403e+001dB,1.79989364489005e+002°)
1.77827941003892e+001	(-1.26444325836110e+001dB,1.79989116735178e+002°)
1.81970085860998e+001	(-1.26444325886159e+001dB,1.79988863232759e+002°)
1.86208713666287e+001	(-1.26444325794367e+001dB,1.79988603853680e+002°)
1.90546071796325e+001	(-1.26444325617555e+001dB,1.79988338342562e+002°)
1.94984459975804e+001	(-1.26444325693213e+001dB,1.79988066745072e+002°)
1.99526231496888e+001	(-1.26444325585319e+001dB,1.79987788770246e+002°)
2.04173794466953e+001	(-1.26444325699699e+001dB,1.79987504358273e+002°)
2.08929613085404e+001	(-1.26444325599186e+001dB,1.79987213321663e+002°)
2.13796208950223e+001	(-1.26444325407260e+001dB,1.79986915449937e+002°)
2.18776162394955e+001	(-1.26444325458207e+001dB,1.79986610707555e+002°)
2.23872113856834e+001	(-1.26444325451998e+001dB,1.79986298875813e+002°)
2.29086765276777e+001	(-1.26444325369546e+001dB,1.79985979612129e+002°)
2.34422881531992e+001	(-1.26444325401930e+001dB,1.79985653112427e+002°)
2.39883291901949e+001	(-1.26444325386883e+001dB,1.79985318919408e+002°)
2.45470891568503e+001	(-1.26444325443366e+001dB,1.79984976956380e+002°)
2.51188643150958e+001	(-1.26444325337273e+001dB,1.79984627078005e+002°)
2.57039578276886e+001	(-1.26444325219673e+001dB,1.79984268899312e+002°)
2.63026799189538e+001	(-1.26444325100893e+001dB,1.79983902413454e+002°)
2.69153480392691e+001	(-1.26444325094621e+001dB,1.79983527496962e+002°)
2.75422870333816e+001	(-1.26444324997619e+001dB,1.79983143832692e+002°)
2.81838293126445e+001	(-1.26444325096834e+001dB,1.79982751203945e+002°)
2.88403150312660e+001	(-1.26444324939749e+001dB,1.79982349464636e+002°)
2.95120922666638e+001	(-1.26444324952049e+001dB,1.79981938416697e+002°)
3.01995172040201e+001	(-1.26444324818232e+001dB,1.79981517549349e+002°)
3.09029543251359e+001	(-1.26444324785256e+001dB,1.79981087122787e+002°)
3.16227766016838e+001	(-1.26444324710412e+001dB,1.79980646424461e+002°)
3.23593656929628e+001	(-1.26444324731340e+001dB,1.79980195688275e+002°)
3.31131121482591e+001	(-1.26444324561828e+001dB,1.79979734444421e+002°)
3.38844156139202e+001	(-1.26444324405602e+001dB,1.79979262419353e+002°)
3.46736850452531e+001	(-1.26444324359119e+001dB,1.79978779323778e+002°)
3.54813389233575e+001	(-1.26444324341575e+001dB,1.79978285104670e+002°)
3.63078054770101e+001	(-1.26444324268741e+001dB,1.79977779316728e+002°)
3.71535229097172e+001	(-1.26444324090436e+001dB,1.79977261653473e+002°)
3.80189396320561e+001	(-1.26444323999617e+001dB,1.79976732015178e+002°)
3.89045144994280e+001	(-1.26444323870554e+001dB,1.79976190067454e+002°)
3.98107170553497e+001	(-1.26444323750374e+001dB,1.79975635425989e+002°)
4.07380277804112e+001	(-1.26444323613350e+001dB,1.79975067957980e+002°)
4.16869383470335e+001	(-1.26444323536380e+001dB,1.79974487133415e+002°)
4.26579518801592e+001	(-1.26444323417753e+001dB,1.79973892930381e+002°)
4.36515832240165e+001	(-1.26444323257679e+001dB,1.79973284746948e+002°)
4.46683592150962e+001	(-1.26444323123628e+001dB,1.79972662516179e+002°)
4.57088189614874e+001	(-1.26444323044442e+001dB,1.79972025781637e+002°)
4.67735141287197e+001	(-1.26444322817029e+001dB,1.79971374187613e+002°)
4.78630092322638e+001	(-1.26444322655625e+001dB,1.79970707343890e+002°)
4.89778819368445e+001	(-1.26444322508008e+001dB,1.79970025039204e+002°)
5.01187233627271e+001	(-1.26444322316877e+001dB,1.79969326898710e+002°)
5.12861383991364e+001	(-1.26444322108646e+001dB,1.79968612389915e+002°)
5.24807460249772e+001	(-1.26444321958347e+001dB,1.79967881269744e+002°)
5.37031796370252e+001	(-1.26444321742546e+001dB,1.79967133128345e+002°)
5.49540873857624e+001	(-1.26444321543777e+001dB,1.79966367605588e+002°)
5.62341325190348e+001	(-1.26444321280969e+001dB,1.79965584168135e+002°)
5.75439937337156e+001	(-1.26444321026452e+001dB,1.79964782489743e+002°)
5.88843655355588e+001	(-1.26444320810748e+001dB,1.79963962160235e+002°)
6.02559586074357e+001	(-1.26444320553967e+001dB,1.79963122742918e+002°)
6.16595001861481e+001	(-1.26444320256717e+001dB,1.79962263786362e+002°)
6.30957344480192e+001	(-1.26444319984013e+001dB,1.79961384790691e+002°)
6.45654229034654e+001	(-1.26444319697468e+001dB,1.79960485313858e+002°)
6.60693448007595e+001	(-1.26444319377284e+001dB,1.79959564916411e+002°)
6.76082975391980e+001	(-1.26444319040605e+001dB,1.79958623060767e+002°)
6.91830970918935e+001	(-1.26444318713579e+001dB,1.79957659266448e+002°)
7.07945784384136e+001	(-1.26444318318196e+001dB,1.79956673011243e+002°)
7.24435960074988e+001	(-1.26444317952081e+001dB,1.79955663841756e+002°)
7.41310241300916e+001	(-1.26444317571196e+001dB,1.79954631114318e+002°)
7.58577575029182e+001	(-1.26444317149595e+001dB,1.79953574316146e+002°)
7.76247116628690e+001	(-1.26444316703642e+001dB,1.79952492947187e+002°)
7.94328234724279e+001	(-1.26444316273639e+001dB,1.79951386333365e+002°)
8.12830516164097e+001	(-1.26444315793712e+001dB,1.79950253997420e+002°)
8.31763771102669e+001	(-1.26444315299663e+001dB,1.79949095219170e+002°)
8.51138038202374e+001	(-1.26444314772095e+001dB,1.79947909524428e+002°)
8.70963589956078e+001	(-1.26444314222562e+001dB,1.79946696178040e+002°)
8.91250938133743e+001	(-1.26444313658677e+001dB,1.79945454605421e+002°)
9.12010839355907e+001	(-1.26444313065042e+001dB,1.79944184050290e+002°)
9.33254300796988e+001	(-1.26444312443477e+001dB,1.79942883929018e+002°)
9.54992586021433e+001	(-1.26444311788457e+001dB,1.79941553560316e+002°)
9.77237220955808e+001	(-1.26444311101473e+001dB,1.79940192185973e+002°)
9.99999999999997e+001	(-1.26444310371720e+001dB,1.79938799027647e+002°)
1.02329299228075e+002	(-1.26444309606043e+001dB,1.79937373460899e+002°)
1.04712854805090e+002	(-1.26444308837194e+001dB,1.79935914726899e+002°)
1.07151930523760e+002	(-1.26444308008720e+001dB,1.79934421993375e+002°)
1.09647819614318e+002	(-1.26444307128018e+001dB,1.79932894474742e+002°)
1.12201845430196e+002	(-1.26444306238455e+001dB,1.79931331368341e+002°)
1.14815362149688e+002	(-1.26444305291700e+001dB,1.79929731884966e+002°)
1.17489755493953e+002	(-1.26444304308417e+001dB,1.79928095141601e+002°)
1.20226443461741e+002	(-1.26444303268516e+001dB,1.79926420276168e+002°)
1.23026877081238e+002	(-1.26444302187228e+001dB,1.79924706343458e+002°)
1.25892541179416e+002	(-1.26444301033486e+001dB,1.79922952537393e+002°)
1.28824955169313e+002	(-1.26444299852703e+001dB,1.79921157869979e+002°)
1.31825673855640e+002	(-1.26444298604981e+001dB,1.79919321443380e+002°)
1.34896288259165e+002	(-1.26444297295490e+001dB,1.79917442178675e+002°)
1.38038426460288e+002	(-1.26444295923714e+001dB,1.79915519149306e+002°)
1.41253754462275e+002	(-1.26444294495868e+001dB,1.79913551348333e+002°)
1.44543977074592e+002	(-1.26444292994864e+001dB,1.79911537712604e+002°)
1.47910838816820e+002	(-1.26444291424571e+001dB,1.79909477160348e+002°)
1.51356124843620e+002	(-1.26444289779690e+001dB,1.79907368584436e+002°)
1.54881661891248e+002	(-1.26444288056745e+001dB,1.79905210951937e+002°)
1.58489319246111e+002	(-1.26444286252665e+001dB,1.79903003023198e+002°)
1.62181009735892e+002	(-1.26444284362974e+001dB,1.79900743675797e+002°)
1.65958690743755e+002	(-1.26444282389995e+001dB,1.79898431720583e+002°)
1.69824365246174e+002	(-1.26444280310888e+001dB,1.79896065870673e+002°)
