Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(1.38312741697309e+001dB,5.27579053814331e+001°)
1.02329299228075e+001	(1.39945804452809e+001dB,5.28566279615689e+001°)
1.04712854805090e+001	(1.41585035447338e+001dB,5.29402110885351e+001°)
1.07151930523761e+001	(1.43229892933417e+001dB,5.30085429134909e+001°)
1.09647819614319e+001	(1.44879835281922e+001dB,5.30615177065043e+001°)
1.12201845430196e+001	(1.46534321016972e+001dB,5.30990356095034e+001°)
1.14815362149688e+001	(1.48192808816171e+001dB,5.31210024050115e+001°)
1.17489755493953e+001	(1.49854757479124e+001dB,5.31273293022475e+001°)
1.20226443461741e+001	(1.51519625867199e+001dB,5.31179327420044e+001°)
1.23026877081238e+001	(1.53186872817672e+001dB,5.30927342215494e+001°)
1.25892541179417e+001	(1.54855957035399e+001dB,5.30516601406208e+001°)
1.28824955169313e+001	(1.56526336965260e+001dB,5.29946416694385e+001°)
1.31825673855641e+001	(1.58197470648658e+001dB,5.29216146394783e+001°)
1.34896288259165e+001	(1.59868815567381e+001dB,5.28325194576068e+001°)
1.38038426460288e+001	(1.61539828478182e+001dB,5.27273010440123e+001°)
1.41253754462275e+001	(1.63209965241426e+001dB,5.26059087942180e+001°)
1.44543977074593e+001	(1.64878680647181e+001dB,5.24682965653033e+001°)
1.47910838816821e+001	(1.66545428242116e+001dB,5.23144226863118e+001°)
1.51356124843621e+001	(1.68209660160561e+001dB,5.21442499926666e+001°)
1.54881661891248e+001	(1.69870826963076e+001dB,5.19577458842635e+001°)
1.58489319246111e+001	(1.71528377485828e+001dB,5.17548824067532e+001°)
1.62181009735893e+001	(1.73181758704062e+001dB,5.15356363553725e+001°)
1.65958690743756e+001	(1.74830415612888e+001dB,5.12999894005207e+001°)
1.69824365246174e+001	(1.76473791128541e+001dB,5.10479282341204e+001°)
1.73780082874937e+001	(1.78111326013219e+001dB,5.07794447356381e+001°)
1.77827941003892e+001	(1.79742458826494e+001dB,5.04945361564731e+001°)
1.81970085860998e+001	(1.81366625906184e+001dB,5.01932053212582e+001°)
1.86208713666287e+001	(1.82983261381485e+001dB,4.98754608444453e+001°)
1.90546071796325e+001	(1.84591797220958e+001dB,4.95413173603801e+001°)
1.94984459975804e+001	(1.86191663317865e+001dB,4.91907957648990e+001°)
1.99526231496888e+001	(1.87782287615100e+001dB,4.88239234663125e+001°)
2.04173794466953e+001	(1.89363096271800e+001dB,4.84407346434737e+001°)
2.08929613085404e+001	(1.90933513873412e+001dB,4.80412705084680e+001°)
2.13796208950223e+001	(1.92492963686796e+001dB,4.76255795713000e+001°)
