Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(1.38311804509443e+001dB,5.25159283313528e+001°)
1.02329299228075e+001	(1.39944823850132e+001dB,5.26090146046617e+001°)
1.04712854805090e+001	(1.41584009383795e+001dB,5.26868301428362e+001°)
1.07151930523761e+001	(1.43228819266527e+001dB,5.27492600394065e+001°)
1.09647819614319e+001	(1.44878711768234e+001dB,5.27961954356133e+001°)
1.12201845430196e+001	(1.46533145307304e+001dB,5.28275332717024e+001°)
1.14815362149688e+001	(1.48191578450636e+001dB,5.28431760539640e+001°)
1.17489755493953e+001	(1.49853469881902e+001dB,5.28430316390992e+001°)
1.20226443461741e+001	(1.51518278341081e+001dB,5.28270130373232e+001°)
1.23026877081238e+001	(1.53185462538337e+001dB,5.27950382354492e+001°)
1.25892541179417e+001	(1.54854481045422e+001dB,5.27470300410276e+001°)
1.28824955169313e+001	(1.56524792167844e+001dB,5.26829159484545e+001°)
1.31825673855641e+001	(1.58195853801060e+001dB,5.26026280278010e+001°)
1.34896288259165e+001	(1.59867123274040e+001dB,5.25061028369573e+001°)
1.38038426460288e+001	(1.61538057183512e+001dB,5.23932813575270e+001°)
1.41253754462275e+001	(1.63208111222280e+001dB,5.22641089547561e+001°)
1.44543977074593e+001	(1.64876740004951e+001dB,5.21185353616222e+001°)
1.47910838816821e+001	(1.66543396894466e+001dB,5.19565146870608e+001°)
1.51356124843621e+001	(1.68207533832770e+001dB,5.17780054481483e+001°)
1.54881661891248e+001	(1.69868601178968e+001dB,5.15829706259113e+001°)
1.58489319246111e+001	(1.71526047558283e+001dB,5.13713777442718e+001°)
1.62181009735893e+001	(1.73179319725072e+001dB,5.11431989714876e+001°)
1.65958690743756e+001	(1.74827862443150e+001dB,5.08984112432824e+001°)
1.69824365246174e+001	(1.76471118386558e+001dB,5.06369964067038e+001°)
1.73780082874937e+001	(1.78108528063885e+001dB,5.03589413835828e+001°)
1.77827941003892e+001	(1.79739529769144e+001dB,5.00642383523030e+001°)
1.81970085860998e+001	(1.81363559562081e+001dB,4.97528849464207e+001°)
1.86208713666287e+001	(1.82980051280715e+001dB,4.94248844685079e+001°)
1.90546071796325e+001	(1.84588436588710e+001dB,4.90802461174215e+001°)
1.94984459975804e+001	(1.86188145060063e+001dB,4.87189852270289e+001°)
1.99526231496888e+001	(1.87778604303361e+001dB,4.83411235142553e+001°)
2.04173794466953e+001	(1.89359240127676e+001dB,4.79466893341472e+001°)
2.08929613085404e+001	(1.90929476751899e+001dB,4.75357179394880e+001°)
2.13796208950223e+001	(1.92488737059061e+001dB,4.71082517423409e+001°)
2.18776162394955e+001	(1.94036442896865e+001dB,4.66643405747502e+001°)
2.23872113856834e+001	(1.95572015425356e+001dB,4.62040419456907e+001°)
2.29086765276777e+001	(1.97094875512239e+001dB,4.57274212912337e+001°)
2.34422881531992e+001	(1.98604444176026e+001dB,4.52345522147865e+001°)
2.39883291901949e+001	(2.00100143076707e+001dB,4.47255167141764e+001°)
2.45470891568503e+001	(2.01581395053231e+001dB,4.42004053922823e+001°)
2.51188643150958e+001	(2.03047624706592e+001dB,4.36593176478743e+001°)
2.57039578276886e+001	(2.04498259026790e+001dB,4.31023618433113e+001°)
2.63026799189538e+001	(2.05932728061467e+001dB,4.25296554457655e+001°)
2.69153480392691e+001	(2.07350465623417e+001dB,4.19413251386951e+001°)
2.75422870333816e+001	(2.08750910033686e+001dB,4.13375069003788e+001°)
2.81838293126445e+001	(2.10133504896373e+001dB,4.07183460464578e+001°)
2.88403150312660e+001	(2.11497699900731e+001dB,4.00839972336016e+001°)
2.95120922666638e+001	(2.12842951645627e+001dB,3.94346244216303e+001°)
3.01995172040201e+001	(2.14168724480873e+001dB,3.87704007916858e+001°)
3.09029543251359e+001	(2.15474491359498e+001dB,3.80915086183473e+001°)
3.16227766016838e+001	(2.16759734694523e+001dB,3.73981390939314e+001°)
3.23593656929628e+001	(2.18023947213446e+001dB,3.66904921036061e+001°)
3.31131121482591e+001	(2.19266632803238e+001dB,3.59687759503740e+001°)
3.38844156139202e+001	(2.20487307338405e+001dB,3.52332070294409e+001°)
3.46736850452531e+001	(2.21685499484418e+001dB,3.44840094519811e+001°)
3.54813389233575e+001	(2.22860751468690e+001dB,3.37214146188305e+001°)
3.63078054770101e+001	(2.24012619811214e+001dB,3.29456607451751e+001°)
3.71535229097172e+001	(2.25140676007031e+001dB,3.21569923378612e+001°)
3.80189396320561e+001	(2.26244507152798e+001dB,3.13556596275074e+001°)
3.89045144994280e+001	(2.27323716509983e+001dB,3.05419179581599e+001°)
3.98107170553497e+001	(2.28377923997532e+001dB,2.97160271377782e+001°)
4.07380277804112e+001	(2.29406766607282e+001dB,2.88782507533676e+001°)
4.16869383470335e+001	(2.30409898735918e+001dB,2.80288554550753e+001°)
4.26579518801592e+001	(2.31386992427878e+001dB,2.71681102140360e+001°)
4.36515832240165e+001	(2.32337737524333e+001dB,2.62962855591709e+001°)
4.46683592150962e+001	(2.33261841714107e+001dB,2.54136527985232e+001°)
4.57088189614874e+001	(2.34159030483282e+001dB,2.45204832310201e+001°)
4.67735141287197e+001	(2.35029046961105e+001dB,2.36170473548116e+001°)
4.78630092322638e+001	(2.35871651660773e+001dB,2.27036140785139e+001°)
4.89778819368445e+001	(2.36686622114622e+001dB,2.17804499418062e+001°)
5.01187233627271e+001	(2.37473752404263e+001dB,2.08478183518657e+001°)
5.12861383991364e+001	(2.38232852587167e+001dB,1.99059788420972e+001°)
5.24807460249772e+001	(2.38963748022206e+001dB,1.89551863595080e+001°)
5.37031796370252e+001	(2.39666278597573e+001dB,1.79956905869030e+001°)
5.49540873857624e+001	(2.40340297865470e+001dB,1.70277353058334e+001°)
5.62341325190348e+001	(2.40985672088752e+001dB,1.60515578059261e+001°)
5.75439937337156e+001	(2.41602279205560e+001dB,1.50673883458561e+001°)
5.88843655355588e+001	(2.42190007718693e+001dB,1.40754496708115e+001°)
6.02559586074357e+001	(2.42748755517093e+001dB,1.30759565908416e+001°)
6.16595001861481e+001	(2.43278428637434e+001dB,1.20691156239805e+001°)
6.30957344480192e+001	(2.43778939974208e+001dB,1.10551247075159e+001°)
6.45654229034654e+001	(2.44250207947156e+001dB,1.00341729802278e+001°)
6.60693448007595e+001	(2.44692155135127e+001dB,9.00644063785974e+000°)
6.76082975391980e+001	(2.45104706885674e+001dB,7.97209886352419e+000°)
6.91830970918935e+001	(2.45487789909797e+001dB,6.93130983417945e+000°)
7.07945784384136e+001	(2.45841330871256e+001dB,5.88422680376001e+000°)
7.24435960074988e+001	(2.46165254979845e+001dB,4.83099426300445e+000°)
7.41310241300916e+001	(2.46459484597854e+001dB,3.77174817550149e+000°)
7.58577575029182e+001	(2.46723937868771e+001dB,2.70661628897992e+000°)
7.76247116628690e+001	(2.46958527377010e+001dB,1.63571852039682e+000°)
7.94328234724279e+001	(2.47163158847119e+001dB,5.59167412939960e-001°)
8.12830516164097e+001	(2.47337729890606e+001dB,-5.22931337348420e-001°)
8.31763771102669e+001	(2.47482128808068e+001dB,-1.61047828799337e+000°)
8.51138038202374e+001	(2.47596233453936e+001dB,-2.70337959256370e+000°)
8.70963589956078e+001	(2.47679910170649e+001dB,-3.80154628252003e+000°)
8.91250938133743e+001	(2.47733012798627e+001dB,-4.90489349202796e+000°)
9.12010839355907e+001	(2.47755381767920e+001dB,-6.01333962957477e+000°)
9.33254300796988e+001	(2.47746843276910e+001dB,-7.12680550044359e+000°)
9.54992586021433e+001	(2.47707208562954e+001dB,-8.24521338428748e+000°)
9.77237220955808e+001	(2.47636273269332e+001dB,-9.36848607220638e+000°)
9.99999999999997e+001	(2.47533816912393e+001dB,-1.04965458678703e+001°)
1.02329299228075e+002	(2.47399602452258e+001dB,-1.16293135573460e+001°)
1.04712854805090e+002	(2.47233375969960e+001dB,-1.27667073523803e+001°)
