Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(-2.48359308621026e+000dB,-4.68451910342946e+001°)
1.02329299228075e+001	(-2.63417231587587e+000dB,-4.68537699954438e+001°)
1.04712854805090e+001	(-2.78497794110629e+000dB,-4.68462039219245e+001°)
1.07151930523761e+001	(-2.93594098020834e+000dB,-4.68224276267989e+001°)
1.09647819614319e+001	(-3.08699231757454e+000dB,-4.67823877598742e+001°)
1.12201845430196e+001	(-3.23806274387729e+000dB,-4.67260427711006e+001°)
1.14815362149688e+001	(-3.38908299559435e+000dB,-4.66533628848930e+001°)
1.17489755493953e+001	(-3.53998379426094e+000dB,-4.65643300856933e+001°)
1.20226443461741e+001	(-3.69069588584565e+000dB,-4.64589381147745e+001°)
1.23026877081238e+001	(-3.84115008064496e+000dB,-4.63371924779744e+001°)
1.25892541179417e+001	(-3.99127729408443e+000dB,-4.61991104637340e+001°)
1.28824955169313e+001	(-4.14100858880277e+000dB,-4.60447211705048e+001°)
1.31825673855641e+001	(-4.29027521837923e+000dB,-4.58740655422939e+001°)
1.34896288259165e+001	(-4.43900867304402e+000dB,-4.56871964108157e+001°)
1.38038426460288e+001	(-4.58714072768648e+000dB,-4.54841785424452e+001°)
1.41253754462275e+001	(-4.73460349244627e+000dB,-4.52650886878982e+001°)
1.44543977074593e+001	(-4.88132946613903e+000dB,-4.50300156323134e+001°)
1.47910838816821e+001	(-5.02725159273045e+000dB,-4.47790602431842e+001°)
1.51356124843621e+001	(-5.17230332103016e+000dB,-4.45123355133780e+001°)
1.54881661891248e+001	(-5.31641866773183e+000dB,-4.42299665962987e+001°)
1.58489319246111e+001	(-5.45953228387624e+000dB,-4.39320908300969e+001°)
1.62181009735893e+001	(-5.60157952476176e+000dB,-4.36188577477063e+001°)
1.65958690743756e+001	(-5.74249652327165e+000dB,-4.32904290694005e+001°)
1.69824365246174e+001	(-5.88222026652961e+000dB,-4.29469786745091e+001°)
1.73780082874937e+001	(-6.02068867573607e+000dB,-4.25886925489261e+001°)
1.77827941003892e+001	(-6.15784068897647e+000dB,-4.22157687050697e+001°)
1.81970085860998e+001	(-6.29361634673186e+000dB,-4.18284170710312e+001°)
1.86208713666287e+001	(-6.42795687976076e+000dB,-4.14268593457711e+001°)
1.90546071796325e+001	(-6.56080479896104e+000dB,-4.10113288173859e+001°)
1.94984459975804e+001	(-6.69210398676182e+000dB,-4.05820701416900e+001°)
1.99526231496888e+001	(-6.82179978953998e+000dB,-4.01393390786137e+001°)
2.04173794466953e+001	(-6.94983911050272e+000dB,-3.96834021842320e+001°)
2.08929613085404e+001	(-7.07617050243037e+000dB,-3.92145364565900e+001°)
2.13796208950223e+001	(-7.20074425963077e+000dB,-3.87330289338877e+001°)
2.18776162394955e+001	(-7.32351250841994e+000dB,-3.82391762440199e+001°)
2.23872113856834e+001	(-7.44442929541526e+000dB,-3.77332841049357e+001°)
2.29086765276777e+001	(-7.56345067290485e+000dB,-3.72156667757807e+001°)
2.34422881531992e+001	(-7.68053478054521e+000dB,-3.66866464593004e+001°)
2.39883291901949e+001	(-7.79564192263415e+000dB,-3.61465526565257e+001°)
2.45470891568503e+001	(-7.90873464021283e+000dB,-3.55957214753000e+001°)
2.51188643150958e+001	(-8.01977777726532e+000dB,-3.50344948947556e+001°)
2.57039578276886e+001	(-8.12873854031002e+000dB,-3.44632199883844e+001°)
2.63026799189538e+001	(-8.23558655071225e+000dB,-3.38822481088677e+001°)
2.69153480392691e+001	(-8.34029388909198e+000dB,-3.32919340383277e+001°)
2.75422870333816e+001	(-8.44283513125463e+000dB,-3.26926351081246e+001°)
2.81838293126445e+001	(-8.54318737513518e+000dB,-3.20847102927486e+001°)
2.88403150312660e+001	(-8.64133025831547e+000dB,-3.14685192827251e+001°)
2.95120922666638e+001	(-8.73724596575158e+000dB,-3.08444215417746e+001°)
3.01995172040201e+001	(-8.83091922743032e+000dB,-3.02127753537235e+001°)
3.09029543251359e+001	(-8.92233730575974e+000dB,-2.95739368648540e+001°)
3.16227766016838e+001	(-9.01148997258905e+000dB,-2.89282591275080e+001°)
3.23593656929628e+001	(-9.09836947584340e+000dB,-2.82760911508095e+001°)
3.31131121482591e+001	(-9.18297049585080e+000dB,-2.76177769643528e+001°)
