Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(-2.49021501283282e+000dB,-4.87158652345891e+001°)
1.02329299228075e+001	(-2.64110625153111e+000dB,-4.87679796638111e+001°)
1.04712854805090e+001	(-2.79223858038160e+000dB,-4.88049603873182e+001°)
1.07151930523761e+001	(-2.94354370914334e+000dB,-4.88267655791791e+001°)
1.09647819614319e+001	(-3.09495324614657e+000dB,-4.88333657803819e+001°)
1.12201845430196e+001	(-3.24639874000815e+000dB,-4.88247438735850e+001°)
1.14815362149688e+001	(-3.39781172074895e+000dB,-4.88008950689839e+001°)
1.17489755493953e+001	(-3.54912374071205e+000dB,-4.87618269016128e+001°)
1.20226443461741e+001	(-3.70026641568200e+000dB,-4.87075592400789e+001°)
1.23026877081238e+001	(-3.85117146660362e+000dB,-4.86381243064182e+001°)
1.25892541179417e+001	(-4.00177076229209e+000dB,-4.85535667064434e+001°)
1.28824955169313e+001	(-4.15199636351446e+000dB,-4.84539434696500e+001°)
1.31825673855641e+001	(-4.30178056880684e+000dB,-4.83393240974414e+001°)
1.34896288259165e+001	(-4.45105596237149e+000dB,-4.82097906181438e+001°)
1.38038426460288e+001	(-4.59975546437252e+000dB,-4.80654376469984e+001°)
1.41253754462275e+001	(-4.74781238392051e+000dB,-4.79063724490532e+001°)
1.44543977074593e+001	(-4.89516047500192e+000dB,-4.77327150026242e+001°)
1.47910838816821e+001	(-5.04173399557224e+000dB,-4.75445980607668e+001°)
1.51356124843621e+001	(-5.18746776998977e+000dB,-4.73421672079892e+001°)
1.54881661891248e+001	(-5.33229725492148e+000dB,-4.71255809092557e+001°)
1.58489319246111e+001	(-5.47615860880347e+000dB,-4.68950105481756e+001°)
1.62181009735893e+001	(-5.61898876488656e+000dB,-4.66506404511455e+001°)
1.65958690743756e+001	(-5.76072550784215e+000dB,-4.63926678941298e+001°)
1.69824365246174e+001	(-5.90130755384662e+000dB,-4.61213030887053e+001°)
1.73780082874937e+001	(-6.04067463400293e+000dB,-4.58367691439893e+001°)
1.77827941003892e+001	(-6.17876758089794e+000dB,-4.55393020010960e+001°)
1.81970085860998e+001	(-6.31552841803292e+000dB,-4.52291503368419e+001°)
1.86208713666287e+001	(-6.45090045180350e+000dB,-4.49065754335410e+001°)
1.90546071796325e+001	(-6.58482836564575e+000dB,-4.45718510118929e+001°)
1.94984459975804e+001	(-6.71725831590661e+000dB,-4.42252630241867e+001°)
1.99526231496888e+001	(-6.84813802894133e+000dB,-4.38671094052981e+001°)
2.04173794466953e+001	(-6.97741689888844e+000dB,-4.34976997792686e+001°)
2.08929613085404e+001	(-7.10504608552543e+000dB,-4.31173551196041e+001°)
2.13796208950223e+001	(-7.23097861156569e+000dB,-4.27264073618253e+001°)
2.18776162394955e+001	(-7.35516945872160e+000dB,-4.23251989672317e+001°)
2.23872113856834e+001	(-7.47757566182965e+000dB,-4.19140824373084e+001°)
2.29086765276777e+001	(-7.59815640031232e+000dB,-4.14934197786978e+001°)
2.34422881531992e+001	(-7.71687308623910e+000dB,-4.10635819191746e+001°)
2.39883291901949e+001	(-7.83368944824542e+000dB,-4.06249480755956e+001°)
2.45470891568503e+001	(-7.94857161057478e+000dB,-4.01779050753363e+001°)
2.51188643150958e+001	(-8.06148816652439e+000dB,-3.97228466332674e+001°)
2.57039578276886e+001	(-8.17241024560144e+000dB,-3.92601725868579e+001°)
2.63026799189538e+001	(-8.28131157373186e+000dB,-3.87902880925053e+001°)
2.69153480392691e+001	(-8.38816852590897e+000dB,-3.83136027866907e+001°)
2.75422870333816e+001	(-8.49296017072359e+000dB,-3.78305299160066e+001°)
2.81838293126445e+001	(-8.59566830627980e+000dB,-3.73414854405298e+001°)
2.88403150312660e+001	(-8.69627748707087e+000dB,-3.68468871153731e+001°)
