Freq.	V(vout3)
1.00000000000000e+001	(-8.77071194103499e+000dB,1.29944343662338e+002°)
1.02329299228075e+001	(-8.92989561298720e+000dB,1.29949465626156e+002°)
1.04712854805090e+001	(-9.08929948044149e+000dB,1.29970709516451e+002°)
1.07151930523761e+001	(-9.24886176060705e+000dB,1.30008143916247e+002°)
1.09647819614319e+001	(-9.40852059270895e+000dB,1.30061829302717e+002°)
1.12201845430196e+001	(-9.56821404662417e+000dB,1.30131818116230e+002°)
1.14815362149688e+001	(-9.72788013061591e+000dB,1.30218154809337e+002°)
1.17489755493953e+001	(-9.88745679856440e+000dB,1.30320875875356e+002°)
1.20226443461741e+001	(-1.00468819570952e+001dB,1.30440009856418e+002°)
1.23026877081238e+001	(-1.02060934730055e+001dB,1.30575577331113e+002°)
1.25892541179417e+001	(-1.03650291813860e+001dB,1.30727590882085e+002°)
1.28824955169313e+001	(-1.05236268948307e+001dB,1.30896055044214e+002°)
1.31825673855641e+001	(-1.06818244141194e+001dB,1.31080966234205e+002°)
1.34896288259165e+001	(-1.08395595407459e+001dB,1.31282312662695e+002°)
1.38038426460288e+001	(-1.09967700916523e+001dB,1.31500074230204e+002°)
1.41253754462275e+001	(-1.11533939165144e+001dB,1.31734222408473e+002°)
1.44543977074593e+001	(-1.13093689179017e+001dB,1.31984720108998e+002°)
1.47910838816821e+001	(-1.14646330746157e+001dB,1.32251521540767e+002°)
1.51356124843621e+001	(-1.16191244684849e+001dB,1.32534572059414e+002°)
1.54881661891248e+001	(-1.17727813148638e+001dB,1.32833808010242e+002°)
1.58489319246111e+001	(-1.19255419970554e+001dB,1.33149156567741e+002°)
1.62181009735893e+001	(-1.20773451048397e+001dB,1.33480535574402e+002°)
1.65958690743756e+001	(-1.22281294772529e+001dB,1.33827853381833e+002°)
1.69824365246174e+001	(-1.23778342497210e+001dB,1.34191008697282e+002°)
1.73780082874937e+001	(-1.25263989056071e+001dB,1.34569890438851e+002°)
1.77827941003892e+001	(-1.26737633321850e+001dB,1.34964377602754e+002°)
1.81970085860998e+001	(-1.28198678809993e+001dB,1.35374339146072e+002°)
1.86208713666287e+001	(-1.29646534325235e+001dB,1.35799633888502e+002°)
1.90546071796325e+001	(-1.31080614649691e+001dB,1.36240110436615e+002°)
1.94984459975804e+001	(-1.32500341270436e+001dB,1.36695607134118e+002°)
1.99526231496888e+001	(-1.33905143143986e+001dB,1.37165952041573e+002°)
2.04173794466953e+001	(-1.35294457494502e+001dB,1.37650962948911e+002°)
2.08929613085404e+001	(-1.36667730641934e+001dB,1.38150447423960e+002°)
2.13796208950223e+001	(-1.38024418855787e+001dB,1.38664202900019e+002°)
2.18776162394955e+001	(-1.39363989229592e+001dB,1.39192016805277e+002°)
2.23872113856834e+001	(-1.40685920570651e+001dB,1.39733666736629e+002°)
2.29086765276777e+001	(-1.41989704299097e+001dB,1.40288920680092e+002°)
2.34422881531992e+001	(-1.43274845349867e+001dB,1.40857537279714e+002°)
2.39883291901949e+001	(-1.44540863070758e+001dB,1.41439266156416e+002°)
2.45470891568503e+001	(-1.45787292109367e+001dB,1.42033848277828e+002°)
2.51188643150958e+001	(-1.47013683281462e+001dB,1.42641016379656e+002°)
2.57039578276886e+001	(-1.48219604413069e+001dB,1.43260495438670e+002°)
2.63026799189538e+001	(-1.49404641148466e+001dB,1.43892003196827e+002°)
2.69153480392691e+001	(-1.50568397716206e+001dB,1.44535250735556e+002°)
2.75422870333816e+001	(-1.51710497645350e+001dB,1.45189943098627e+002°)
2.81838293126445e+001	(-1.52830584424230e+001dB,1.45855779961525e+002°)
2.88403150312660e+001	(-1.53928322094303e+001dB,1.46532456344655e+002°)
2.95120922666638e+001	(-1.55003395771998e+001dB,1.47219663367205e+002°)
3.01995172040201e+001	(-1.56055512091895e+001dB,1.47917089037964e+002°)
3.09029543251359e+001	(-1.57084399565094e+001dB,1.48624419078905e+002°)
3.16227766016838e+001	(-1.58089808847250e+001dB,1.49341337776921e+002°)
3.23593656929628e+001	(-1.59071512911455e+001dB,1.50067528858679e+002°)
3.31131121482591e+001	(-1.60029307121880e+001dB,1.50802676383241e+002°)
3.38844156139202e+001	(-1.60963009204952e+001dB,1.51546465646776e+002°)
3.46736850452531e+001	(-1.61872459115666e+001dB,1.52298584093521e+002°)
3.54813389233575e+001	(-1.62757518797588e+001dB,1.53058722226930e+002°)
3.63078054770101e+001	(-1.63618071835982e+001dB,1.53826574514924e+002°)
3.71535229097172e+001	(-1.64454023004446e+001dB,1.54601840283106e+002°)
3.80189396320561e+001	(-1.65265297706390e+001dB,1.55384224589873e+002°)
3.89045144994280e+001	(-1.66051841313538e+001dB,1.56173439077496e+002°)
3.98107170553497e+001	(-1.66813618404561e+001dB,1.56969202793413e+002°)
4.07380277804112e+001	(-1.67550611907728e+001dB,1.57771242976252e+002°)
4.16869383470335e+001	(-1.68262822152257e+001dB,1.58579295801409e+002°)
4.26579518801592e+001	(-1.68950265833696e+001dB,1.59393107081365e+002°)
4.36515832240165e+001	(-1.69612974899347e+001dB,1.60212432916355e+002°)
4.46683592150962e+001	(-1.70250995360199e+001dB,1.61037040291412e+002°)
4.57088189614874e+001	(-1.70864386036357e+001dB,1.61866707616312e+002°)
4.67735141287197e+001	(-1.71453217243238e+001dB,1.62701225205422e+002°)
4.78630092322638e+001	(-1.72017569426121e+001dB,1.63540395694961e+002°)
4.89778819368445e+001	(-1.72557531750761e+001dB,1.64384034395690e+002°)
5.01187233627271e+001	(-1.73073200657888e+001dB,1.65231969579547e+002°)
5.12861383991364e+001	(-1.73564678389387e+001dB,1.66084042699226e+002°)
5.24807460249772e+001	(-1.74032071493865e+001dB,1.66940108540189e+002°)
5.37031796370252e+001	(-1.74475489319177e+001dB,1.67800035305022e+002°)
5.49540873857624e+001	(-1.74895042499223e+001dB,1.68663704630487e+002°)
5.62341325190348e+001	(-1.75290841442075e+001dB,1.69531011537972e+002°)
5.75439937337156e+001	(-1.75662994826153e+001dB,1.70401864318424e+002°)
5.88843655355588e+001	(-1.76011608110786e+001dB,1.71276184353126e+002°)
6.02559586074357e+001	(-1.76336782067130e+001dB,1.72153905871970e+002°)
6.16595001861481e+001	(-1.76638611334965e+001dB,1.73034975651060e+002°)
