Freq.	V(vout3)+V(vout2)+V(vout1)
1.00000000000000e+001	(6.73102760988915e+000dB,1.73216500317033e+002°)
1.02329299228075e+001	(6.71217784893393e+000dB,1.73344039253482e+002°)
1.04712854805090e+001	(6.69390849675623e+000dB,1.73472215114595e+002°)
1.07151930523761e+001	(6.67621209807774e+000dB,1.73600905937183e+002°)
1.09647819614319e+001	(6.65908051893766e+000dB,1.73729995516567e+002°)
1.12201845430196e+001	(6.64250501365002e+000dB,1.73859373481110e+002°)
1.14815362149688e+001	(6.62647628998864e+000dB,1.73988935335805e+002°)
1.17489755493953e+001	(6.61098457232961e+000dB,1.74118582477169e+002°)
1.20226443461741e+001	(6.59601966252426e+000dB,1.74248222181719e+002°)
1.23026877081238e+001	(6.58157099831535e+000dB,1.74377767570313e+002°)
1.25892541179417e+001	(6.56762770914700e+000dB,1.74507137550630e+002°)
1.28824955169313e+001	(6.55417866925524e+000dB,1.74636256740013e+002°)
1.31825673855641e+001	(6.54121254795787e+000dB,1.74765055370863e+002°)
1.34896288259165e+001	(6.52871785709401e+000dB,1.74893469180674e+002°)
1.38038426460288e+001	(6.51668299558985e+000dB,1.75021439288727e+002°)
1.41253754462275e+001	(6.50509629115284e+000dB,1.75148912061378e+002°)
1.44543977074593e+001	(6.49394603911803e+000dB,1.75275838967727e+002°)
1.47910838816821e+001	(6.48322053848970e+000dB,1.75402176427405e+002°)
1.51356124843621e+001	(6.47290812523825e+000dB,1.75527885652042e+002°)
1.54881661891248e+001	(6.46299720292657e+000dB,1.75652932481918e+002°)
1.58489319246111e+001	(6.45347627075219e+000dB,1.75777287219131e+002°)
1.62181009735893e+001	(6.44433394910107e+000dB,1.75900924458544e+002°)
1.65958690743756e+001	(6.43555900271732e+000dB,1.76023822917632e+002°)
1.69824365246174e+001	(6.42714036159865e+000dB,1.76145965266257e+002°)
1.73780082874937e+001	(6.41906713973203e+000dB,1.76267337957271e+002°)
1.77827941003892e+001	(6.41132865178707e+000dB,1.76387931058779e+002°)
1.81970085860998e+001	(6.40391442788578e+000dB,1.76507738088763e+002°)
1.86208713666287e+001	(6.39681422656846e+000dB,1.76626755852692e+002°)
1.90546071796325e+001	(6.39001804607435e+000dB,1.76744984284673e+002°)
1.94984459975804e+001	(6.38351613405433e+000dB,1.76862426292581e+002°)
1.99526231496888e+001	(6.37729899583120e+000dB,1.76979087607565e+002°)
2.04173794466953e+001	(6.37135740131946e+000dB,1.77094976638255e+002°)
2.08929613085404e+001	(6.36568239071408e+000dB,1.77210104329902e+002°)
2.13796208950223e+001	(6.36026527905304e+000dB,1.77324484028672e+002°)
2.18776162394955e+001	(6.35509765975554e+000dB,1.77438131351227e+002°)
2.23872113856834e+001	(6.35017140723218e+000dB,1.77551064059697e+002°)
2.29086765276777e+001	(6.34547867866013e+000dB,1.77663301942099e+002°)
2.34422881531992e+001	(6.34101191501098e+000dB,1.77774866698222e+002°)
2.39883291901949e+001	(6.33676384141460e+000dB,1.77885781830969e+002°)
2.45470891568503e+001	(6.33272746693812e+000dB,1.77996072543116e+002°)
2.51188643150958e+001	(6.32889608385393e+000dB,1.78105765639410e+002°)
2.57039578276886e+001	(6.32526326646658e+000dB,1.78214889433933e+002°)
2.63026799189538e+001	(6.32182286956416e+000dB,1.78323473662615e+002°)
2.69153480392691e+001	(6.31856902655533e+000dB,1.78431549400770e+002°)
2.75422870333816e+001	(6.31549614734916e+000dB,1.78539148985534e+002°)
2.81838293126445e+001	(6.31259891603110e+000dB,1.78646305943034e+002°)
2.88403150312660e+001	(6.30987228838474e+000dB,1.78753054920154e+002°)
2.95120922666638e+001	(6.30731148930538e+000dB,1.78859431620720e+002°)
